1530082827110, 25.45, -30.81, 324.45, 8.84, 7.25, 22.65
1530082827294, 26.39, -33.87, 334.33, 14.76, 3.46, 23.97
1530082827493, 29.31, -32.59, 331.36, 1.59, 4.19, 23.64
1530082827676, 28.14, -33.32, 321.03, 5.69, 8.34, 23.32
1530082827862, 28.03, -34.25, 304.29, 8.09, 9.45, 22.67
1530082828072, 30.19, -37.89, 309.44, 9.61, 0.01, 20.73
1530082828264, 30.42, -37.28, 295.64, 8.31, 8.61, 22.64
1530082828462, 32.89, -37.53, 296.5, 6.47, 3.27, 21.84
1530082843827, 13.02, -31.04, 113.5, 4.18, -60.38, 20.78
1530082844005, 13.24, -32.11, 117.56, 10.88, -62.5, 24.75
1530082844204, 13.88, -32.55, 121.09, 9.7, -62.07, 24.5
1530082844393, 13.89, -32.69, 121.73, 10.45, -64.1, 25.53
1530082844581, 13.82, -32.57, 122.3, 12.68, -66.33, 27.94
1530082844768, 13.65, -32.64, 122.86, 12.96, -68.29, 28.45
1530082844953, 13.33, -32.64, 124.36, 16.75, -70.47, 31.45
1530082845135, 12.32, -31.75, 119.04, 21.5, -75.1, 34.73
1530082845324, 11.83, -31.82, 120.4, 24.14, -76.81, 37.3
1530082845677, 11.43, -31.69, 121.02, 22.7, -76.66, 35.95
1530082845867, 11.33, -31.7, 122.65, 14.25, -71.04, 28.51
1530082846049, 12.16, -32.08, 128.07, 10.36, -68.82, 25.91
1530082846226, 11.78, -31.48, 127.87, 6.01, -66.71, 23.18
1530082846612, 7.15, -26.91, 135.86, -7.33, -65.83, 10.14
1530082846795, 1.98, -27.19, 151.02, -15.93, -73.6, -0.4
